Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,1.80E+11,..,1.85E+11,2.18E+11,2.35E+11,2.35E+11,1.77E+11,1.75E+11,1.95E+11,2.24E+11,2.34E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49364680214,99852958356,2.37E+11,2.25E+11,2.39E+11,2.58E+11,2.92E+11,3.01E+11,3.36E+11,3.83E+11,3.89E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,..,1563667800,6566098382,6690725118,7000748788,7708834951,7085288006,6846691871,6979581725,7491969313,..,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,59217144629,1.32E+11,2.61E+11,2.57E+11,2.93E+11,3.10E+11,3.00E+11,3.19E+11,3.53E+11,3.71E+11,3.95E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1.18E+12,1.14E+12,2.29E+12,2.09E+12,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12,2.09E+12,2.00E+12,..
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592224067,8985352832,14444655300,14807086889,14262589158,13897804560,14187696311,14075894320,14806340821,15713908816,16458071068,..
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3.13E+12,4.89E+12,6.16E+12,6.20E+12,5.16E+12,4.85E+12,4.39E+12,4.92E+12,4.87E+12,4.95E+12,5.08E+12,..
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4160003917,8460424401,29524149165,31634561670,34454440181,36847643587,38587017944,39892551149,41408960787,42932112676,44502895862,..
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932728899,18291990619,1.93E+11,2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11,1.67E+11,1.79E+11,1.82E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572359163,12705357103,41953433591,50412754861,55096728048,61448046802,64007750169,69188755364,78965004656,87778582964,95503088538,..
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,39809538.68,67254174.4,181705002.6,190243321.6,185113921.6,179703443.3,171117872.4,178328873,187276210.9,196737896,194647201.9,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People¡¯s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,2.83E+11,5.76E+11,1.25E+12,1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.50E+12,1.62E+12,1.72E+12,1.65E+12,..
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,..,1849196082,6701698218,6499807272,7074777527,7396705195,6442915788,6719172017,7245707185,7942961738,7926133714,..
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427777778,37712842243,1.54E+11,1.74E+11,1.74E+11,1.63E+11,1.15E+11,1.09E+11,1.21E+11,1.41E+11,1.35E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2675000000,1369688498,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,8454619608,..
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.2,1731198022,8749241114,10191350120,11942230508,13268458232,14390442307,15805692546,16853087485,17953786416,18173839147,..
